TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
large_intestine-rectum-adenoma	large_intestine-rectum-adenoma	0.00777135565756015	-4.85731065651881	103	2	0.0869565217391304	23	17775	4314,10673	MMP3,TNFSF13B
breast-carcinoma-ductal_carcinoma	breast-carcinoma-ductal_carcinoma	0.0469511137342457	-3.05864835190005	15563	23	1	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,5743,1440,4314,84419,50486,6355,3569,2919,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,PTGS2,CSF3,MMP3,C15orf48,G0S2,CCL8,IL6,CXCL1,NFKBIZ,MT1F
haematopoietic_and_lymphoid_tissue-abdomen-lymphoid_neoplasm-follicular_lymphoma	haematopoietic_and_lymphoid_tissue-abdomen-lymphoid_neoplasm-follicular_lymphoma	0.0639883957830852	-2.74905352795147	51	1	0.0434782608695652	23	17775	259307	IL4I1
lung-carcinoid-endocrine_tumour-typical	lung-carcinoid-endocrine_tumour-typical	0.0673102709173241	-2.69844244004823	330	2	0.0869565217391304	23	17775	259307,10673	IL4I1,TNFSF13B
typical	typical	0.0673102709173241	-2.69844244004823	330	2	0.0869565217391304	23	17775	259307,10673	IL4I1,TNFSF13B
central_nervous_system-cerebrum-glioma-astrocytoma_Grade_IV	central_nervous_system-cerebrum-glioma-astrocytoma_Grade_IV	0.0760671534398994	-2.57613873094521	61	1	0.0434782608695652	23	17775	259307	IL4I1
haematopoietic_and_lymphoid_tissue-spleen-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	haematopoietic_and_lymphoid_tissue-spleen-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	0.0808567879329034	-2.5150757393663	65	1	0.0434782608695652	23	17775	3589	IL11
cerebrum	cerebrum	0.083242689963765	-2.48599496222002	67	1	0.0434782608695652	23	17775	259307	IL4I1
lung-carcinoma-undifferentiated_carcinoma	lung-carcinoma-undifferentiated_carcinoma	0.109196604798397	-2.21460530774445	1433	4	0.173913043478261	23	17775	1880,259307,10673,22943	GPR183,IL4I1,TNFSF13B,DKK1
undifferentiated_carcinoma	undifferentiated_carcinoma	0.111320831394744	-2.19533887384045	1443	4	0.173913043478261	23	17775	1880,259307,10673,22943	GPR183,IL4I1,TNFSF13B,DKK1
breast-carcinoma-HER-positive_carcinoma	breast-carcinoma-HER-positive_carcinoma	0.122010744037651	-2.10364617224407	2074	5	0.217391304347826	23	17775	1880,259307,1999,10673,22943	GPR183,IL4I1,ELF3,TNFSF13B,DKK1
HER-positive_carcinoma	HER-positive_carcinoma	0.122010744037651	-2.10364617224407	2074	5	0.217391304347826	23	17775	1880,259307,1999,10673,22943	GPR183,IL4I1,ELF3,TNFSF13B,DKK1
myelodysplastic-myeloproliferative_neoplasm-unclassifiable	myelodysplastic-myeloproliferative_neoplasm-unclassifiable	0.135385450552374	-1.99962937957774	112	1	0.0434782608695652	23	17775	1437	CSF2
haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-myelodysplastic-myeloproliferative_neoplasm-unclassifiable	haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-myelodysplastic-myeloproliferative_neoplasm-unclassifiable	0.135385450552374	-1.99962937957774	112	1	0.0434782608695652	23	17775	1437	CSF2
chronic_myelomonocytic_leukaemia	chronic_myelomonocytic_leukaemia	0.17827005852091	-1.7244556957472	151	1	0.0434782608695652	23	17775	1437	CSF2
haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-chronic_myelomonocytic_leukaemia	haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-chronic_myelomonocytic_leukaemia	0.17827005852091	-1.7244556957472	151	1	0.0434782608695652	23	17775	1437	CSF2
large_intestine-rectum	large_intestine-rectum	0.180316698852258	-1.71304053602186	598	2	0.0869565217391304	23	17775	1999,22943	ELF3,DKK1
haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-acute_myeloid_leukaemia_associated_with_MDS	haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-acute_myeloid_leukaemia_associated_with_MDS	0.205721211215283	-1.58123337040423	177	1	0.0434782608695652	23	17775	1437	CSF2
acute_myeloid_leukaemia_associated_with_MDS	acute_myeloid_leukaemia_associated_with_MDS	0.205721211215283	-1.58123337040423	177	1	0.0434782608695652	23	17775	1437	CSF2
ductal_carcinoma	ductal_carcinoma	0.219930404950987	-1.51444412380806	16643	23	1	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,5743,1440,4314,84419,50486,6355,3569,2919,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,PTGS2,CSF3,MMP3,C15orf48,G0S2,CCL8,IL6,CXCL1,NFKBIZ,MT1F
large_intestine-rectum-carcinoma-adenocarcinoma	large_intestine-rectum-carcinoma-adenocarcinoma	0.230189036718496	-1.46885440885671	16676	23	1	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,5743,1440,4314,84419,50486,6355,3569,2919,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,PTGS2,CSF3,MMP3,C15orf48,G0S2,CCL8,IL6,CXCL1,NFKBIZ,MT1F
rectum	rectum	0.231144004444722	-1.46471436682623	16679	23	1	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,5743,1440,4314,84419,50486,6355,3569,2919,64332,4494	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,PTGS2,CSF3,MMP3,C15orf48,G0S2,CCL8,IL6,CXCL1,NFKBIZ,MT1F
breast-carcinoma-ER-PR-positive_carcinoma	breast-carcinoma-ER-PR-positive_carcinoma	0.238012826960355	-1.43543071197153	1940	4	0.173913043478261	23	17775	1880,259307,10673,22943	GPR183,IL4I1,TNFSF13B,DKK1
ER-PR-positive_carcinoma	ER-PR-positive_carcinoma	0.238012826960355	-1.43543071197153	1940	4	0.173913043478261	23	17775	1880,259307,10673,22943	GPR183,IL4I1,TNFSF13B,DKK1
haematopoietic_and_lymphoid_tissue-lymph_node-lymphoid_neoplasm-follicular_lymphoma	haematopoietic_and_lymphoid_tissue-lymph_node-lymphoid_neoplasm-follicular_lymphoma	0.250189951182573	-1.38553484489508	221	1	0.0434782608695652	23	17775	3589	IL11
biliary_tract-bile_duct-carcinoma-adenocarcinoma	biliary_tract-bile_duct-carcinoma-adenocarcinoma	0.283076084660936	-1.26203956708069	15891	22	0.956521739130435	23	17775	6354,3589,6364,2921,6372,10673,259307,2920,1437,9308,1999,22943,1880,5743,1440,4314,84419,50486,6355,3569,2919,64332	CCL7,IL11,CCL20,CXCL3,CXCL6,TNFSF13B,IL4I1,CXCL2,CSF2,CD83,ELF3,DKK1,GPR183,PTGS2,CSF3,MMP3,C15orf48,G0S2,CCL8,IL6,CXCL1,NFKBIZ
